2026-02-28 14:40:03 | db_manager                | INFO     | Database initialized: sqlite:///C:\Users\karta\OneDrive\Desktop\AI_Checker\exam_checker\exam_checker.db
2026-02-28 14:41:43 | db_manager                | INFO     | Database initialized: sqlite:///C:\Users\karta\OneDrive\Desktop\AI_Checker\exam_checker\exam_checker.db
2026-03-02 09:04:19 | db_manager                | INFO     | Database initialized: sqlite:///C:\Users\karta\OneDrive\Desktop\AI_Checker\exam_checker\exam_checker.db
2026-03-02 09:06:17 | db_manager                | INFO     | Database initialized: sqlite:///C:\Users\karta\OneDrive\Desktop\AI_Checker\exam_checker\exam_checker.db
2026-03-02 09:13:15 | db_manager                | INFO     | Database initialized: sqlite:///C:\Users\karta\OneDrive\Desktop\AI_Checker\exam_checker\exam_checker.db
2026-03-02 09:19:09 | answer_key_parser         | INFO     | Regex extracted marks: [4.0, 6.0, 10.0]
2026-03-02 09:19:09 | answer_key_parser         | WARNING  | Empty OCR text — cannot extract marks
2026-03-02 09:20:40 | db_manager                | INFO     | Database initialized: sqlite:///C:\Users\karta\OneDrive\Desktop\AI_Checker\exam_checker\exam_checker.db
2026-03-02 09:30:46 | db_manager                | INFO     | Database initialized: sqlite:///C:\Users\karta\OneDrive\Desktop\AI_Checker\exam_checker\exam_checker.db
2026-03-02 09:32:53 | course_processor          | INFO     | Setting up course: COURSE001
2026-03-02 09:32:53 | course_processor          | ERROR    | Course processing failed: Instance <Course at 0x1cf0771c050> is not bound to a Session; attribute refresh operation cannot proceed (Background on this error at: https://sqlalche.me/e/20/bhk3)
2026-03-02 09:32:53 | course_processor          | INFO     | Error: Instance <Course at 0x1cf0771c050> is not bound to a Session; attribute refresh operation cannot proceed (Background on this error at: https://sqlalche.me/e/20/bhk3)
2026-03-02 09:40:24 | db_manager                | INFO     | Database initialized: sqlite:///C:\Users\karta\OneDrive\Desktop\AI_Checker\exam_checker\exam_checker.db
2026-03-02 10:03:57 | folder_scanner            | INFO     | Scan complete — answer_key=C:\Users\karta\AppData\Local\Temp\tmp8pgb7xd4\answer_key.pdf, question_paper=C:\Users\karta\AppData\Local\Temp\tmp8pgb7xd4\question_paper.pdf, students=2
2026-03-02 10:22:46 | folder_scanner            | INFO     | Scan complete — answer_key=C:\Users\karta\AppData\Local\Temp\tmpeal6kh1x\answer_key.pdf, question_paper=C:\Users\karta\AppData\Local\Temp\tmpeal6kh1x\question_paper.pdf, students=2
2026-03-02 10:25:44 | folder_scanner            | INFO     | Scan complete — answer_key=C:\Users\karta\AppData\Local\Temp\tmpk4991u2z\answer_key.pdf, question_paper=C:\Users\karta\AppData\Local\Temp\tmpk4991u2z\question_paper.pdf, students=2
2026-03-02 10:37:26 | db_manager                | INFO     | Database initialized: sqlite:///C:\Users\karta\OneDrive\Desktop\AI_Checker\exam_checker\exam_checker.db
2026-03-02 10:55:17 | db_manager                | INFO     | Database initialized: sqlite:///C:\Users\karta\OneDrive\Desktop\AI_Checker\exam_checker\exam_checker.db
2026-03-02 10:56:01 | db_manager                | INFO     | Database initialized: sqlite:///C:\Users\karta\OneDrive\Desktop\AI_Checker\exam_checker\exam_checker.db
2026-03-02 11:03:14 | db_manager                | INFO     | Database initialized: sqlite:///C:\Users\karta\OneDrive\Desktop\AI_Checker\exam_checker\exam_checker.db
2026-03-02 11:48:36 | db_manager                | INFO     | Database initialized: sqlite:///C:\Users\karta\OneDrive\Desktop\AI_Checker\exam_checker\exam_checker.db
2026-03-02 11:49:49 | folder_scanner            | INFO     | Parsed folder name 'MB3204_MSE' → code=MSE, title=MB3204_MSE
2026-03-02 11:49:49 | folder_scanner            | INFO     | Scan complete — answer_key=C:\Users\karta\Downloads\Content (2)\Content\MB3204_MSE\answer_key.pdf, question_paper=C:\Users\karta\Downloads\Content (2)\Content\MB3204_MSE\questionpaper.pdf, students=2
2026-03-02 11:49:53 | folder_scanner            | INFO     | Scan complete — answer_key=C:\Users\karta\Downloads\Content (2)\Content\MB3204_MSE\answer_key.pdf, question_paper=C:\Users\karta\Downloads\Content (2)\Content\MB3204_MSE\questionpaper.pdf, students=2
2026-03-02 11:49:53 | folder_scanner            | INFO     | Parsed folder name 'MB3204_MSE' → code=MSE, title=MB3204_MSE
2026-03-02 11:49:53 | course_processor          | INFO     | Course detected: MSE — [MB3204_MSE] (from folder_name)
2026-03-02 11:49:53 | course_processor          | INFO     | Course ready: MSE
2026-03-02 11:49:53 | course_processor          | INFO     | Scanning folder: C:/Users/karta/Downloads/Content (2)/Content/MB3204_MSE
2026-03-02 11:49:53 | folder_scanner            | INFO     | Scan complete — answer_key=C:\Users\karta\Downloads\Content (2)\Content\MB3204_MSE\answer_key.pdf, question_paper=C:\Users\karta\Downloads\Content (2)\Content\MB3204_MSE\questionpaper.pdf, students=2
2026-03-02 11:49:53 | course_processor          | INFO     |   Answer Key:     C:\Users\karta\Downloads\Content (2)\Content\MB3204_MSE\answer_key.pdf
  Question Paper: C:\Users\karta\Downloads\Content (2)\Content\MB3204_MSE\questionpaper.pdf
  Student Sheets: 2 file(s)
    · student_49211003.pdf
    · student_4921127.pdf
2026-03-02 11:49:53 | course_processor          | INFO     | Setting up course: MSE
2026-03-02 11:49:53 | course_processor          | ERROR    | Course processing failed: Instance <Course at 0x1a61c46f750> is not bound to a Session; attribute refresh operation cannot proceed (Background on this error at: https://sqlalche.me/e/20/bhk3)
2026-03-02 11:49:53 | course_processor          | INFO     | Error: Instance <Course at 0x1a61c46f750> is not bound to a Session; attribute refresh operation cannot proceed (Background on this error at: https://sqlalche.me/e/20/bhk3)
2026-03-02 11:53:43 | db_manager                | INFO     | Database initialized: sqlite:///C:\Users\karta\OneDrive\Desktop\AI_Checker\exam_checker\exam_checker.db
2026-03-02 11:53:54 | folder_scanner            | INFO     | Parsed folder name 'MB3204_MSE' → code=MSE, title=MB3204_MSE
2026-03-02 11:53:54 | folder_scanner            | INFO     | Scan complete — answer_key=C:\Users\karta\Downloads\Content (2)\Content\MB3204_MSE\answer_key.pdf, question_paper=C:\Users\karta\Downloads\Content (2)\Content\MB3204_MSE\questionpaper.pdf, students=2
2026-03-02 11:53:58 | folder_scanner            | INFO     | Scan complete — answer_key=C:\Users\karta\Downloads\Content (2)\Content\MB3204_MSE\answer_key.pdf, question_paper=C:\Users\karta\Downloads\Content (2)\Content\MB3204_MSE\questionpaper.pdf, students=2
2026-03-02 11:53:58 | folder_scanner            | INFO     | Parsed folder name 'MB3204_MSE' → code=MSE, title=MB3204_MSE
2026-03-02 11:53:58 | course_processor          | INFO     | Course detected: MSE — [MB3204_MSE] (from folder_name)
2026-03-02 11:53:58 | course_processor          | INFO     | Course ready: MSE
2026-03-02 11:53:58 | course_processor          | INFO     | Scanning folder: C:/Users/karta/Downloads/Content (2)/Content/MB3204_MSE
2026-03-02 11:53:58 | folder_scanner            | INFO     | Scan complete — answer_key=C:\Users\karta\Downloads\Content (2)\Content\MB3204_MSE\answer_key.pdf, question_paper=C:\Users\karta\Downloads\Content (2)\Content\MB3204_MSE\questionpaper.pdf, students=2
2026-03-02 11:53:58 | course_processor          | INFO     |   Answer Key:     C:\Users\karta\Downloads\Content (2)\Content\MB3204_MSE\answer_key.pdf
  Question Paper: C:\Users\karta\Downloads\Content (2)\Content\MB3204_MSE\questionpaper.pdf
  Student Sheets: 2 file(s)
    · student_49211003.pdf
    · student_4921127.pdf
2026-03-02 11:53:58 | course_processor          | INFO     | Setting up course: MSE
2026-03-02 11:53:58 | course_processor          | INFO     | Processing answer key...
2026-03-02 11:53:58 | pdf_converter             | DEBUG    | Page 1/8 converted: 2479x3506
2026-03-02 11:53:58 | pdf_converter             | DEBUG    | Page 2/8 converted: 2480x3507
2026-03-02 11:53:58 | pdf_converter             | DEBUG    | Page 3/8 converted: 2480x3507
2026-03-02 11:53:58 | pdf_converter             | DEBUG    | Page 4/8 converted: 2480x3507
2026-03-02 11:53:58 | pdf_converter             | DEBUG    | Page 5/8 converted: 2480x3507
2026-03-02 11:53:58 | pdf_converter             | DEBUG    | Page 6/8 converted: 2480x3507
2026-03-02 11:53:59 | pdf_converter             | DEBUG    | Page 7/8 converted: 2480x3507
2026-03-02 11:53:59 | pdf_converter             | DEBUG    | Page 8/8 converted: 2480x3507
2026-03-02 11:53:59 | pdf_converter             | INFO     | Converted 8 pages from answer_key.pdf
2026-03-02 11:53:59 | scan_enhancer             | DEBUG    | Deskewed by -1.01°
2026-03-02 11:54:05 | region_segmenter          | INFO     | Segmented page into 16 regions
2026-03-02 11:54:05 | scan_enhancer             | DEBUG    | Deskewed by 1.00°
2026-03-02 11:54:11 | region_segmenter          | INFO     | Segmented page into 10 regions
2026-03-02 11:54:11 | scan_enhancer             | DEBUG    | Deskewed by -1.00°
2026-03-02 11:54:18 | region_segmenter          | INFO     | Segmented page into 11 regions
2026-03-02 11:54:18 | scan_enhancer             | DEBUG    | Deskewed by 0.92°
2026-03-02 11:54:24 | region_segmenter          | INFO     | Segmented page into 11 regions
2026-03-02 11:54:25 | scan_enhancer             | DEBUG    | Deskewed by -1.07°
2026-03-02 11:54:31 | region_segmenter          | INFO     | Segmented page into 12 regions
2026-03-02 11:54:31 | scan_enhancer             | DEBUG    | Deskewed by 1.03°
2026-03-02 11:54:38 | region_segmenter          | INFO     | Segmented page into 11 regions
2026-03-02 11:54:38 | scan_enhancer             | DEBUG    | Deskewed by -1.89°
2026-03-02 11:54:44 | region_segmenter          | INFO     | Segmented page into 5 regions
2026-03-02 11:54:51 | region_segmenter          | INFO     | Segmented page into 9 regions
2026-03-02 11:54:51 | blank_detector            | DEBUG    | Ink ratio: 0.0001, threshold: 0.01, blank: True
2026-03-02 11:54:51 | ocr_router                | INFO     | Region detected as blank
2026-03-02 11:54:51 | blank_detector            | DEBUG    | Ink ratio: 0.0270, threshold: 0.01, blank: False
2026-03-02 11:54:52 | handwriting_ocr           | ERROR    | Handwriting OCR failed: 403 Client Error: Forbidden for url: https://vision.googleapis.com/v1/images:annotate?key=AIzaSyAJ0yGEWhNuBu8Mt1BM2QDimS7zEzMl16U
2026-03-02 11:54:53 | multilingual_ocr          | ERROR    | Multilingual OCR failed: 403 Client Error: Forbidden for url: https://vision.googleapis.com/v1/images:annotate?key=AIzaSyAJ0yGEWhNuBu8Mt1BM2QDimS7zEzMl16U
2026-03-02 11:54:53 | ocr_router                | INFO     | OCR result: engine=vision_api_document, confidence=0.000, text_length=0
2026-03-02 11:54:53 | blank_detector            | DEBUG    | Ink ratio: 0.0079, threshold: 0.01, blank: True
2026-03-02 11:54:53 | ocr_router                | INFO     | Region detected as blank
2026-03-02 11:54:53 | blank_detector            | DEBUG    | Ink ratio: 0.0423, threshold: 0.01, blank: False
2026-03-02 11:54:54 | handwriting_ocr           | ERROR    | Handwriting OCR failed: 403 Client Error: Forbidden for url: https://vision.googleapis.com/v1/images:annotate?key=AIzaSyAJ0yGEWhNuBu8Mt1BM2QDimS7zEzMl16U
2026-03-02 11:54:55 | multilingual_ocr          | ERROR    | Multilingual OCR failed: 403 Client Error: Forbidden for url: https://vision.googleapis.com/v1/images:annotate?key=AIzaSyAJ0yGEWhNuBu8Mt1BM2QDimS7zEzMl16U
2026-03-02 11:54:55 | ocr_router                | INFO     | OCR result: engine=vision_api_document, confidence=0.000, text_length=0
2026-03-02 11:54:55 | blank_detector            | DEBUG    | Ink ratio: 0.0426, threshold: 0.01, blank: False
2026-03-02 11:54:56 | handwriting_ocr           | ERROR    | Handwriting OCR failed: 403 Client Error: Forbidden for url: https://vision.googleapis.com/v1/images:annotate?key=AIzaSyAJ0yGEWhNuBu8Mt1BM2QDimS7zEzMl16U
2026-03-02 11:54:57 | multilingual_ocr          | ERROR    | Multilingual OCR failed: 403 Client Error: Forbidden for url: https://vision.googleapis.com/v1/images:annotate?key=AIzaSyAJ0yGEWhNuBu8Mt1BM2QDimS7zEzMl16U
2026-03-02 11:54:57 | ocr_router                | INFO     | OCR result: engine=vision_api_document, confidence=0.000, text_length=0
2026-03-02 11:54:57 | blank_detector            | DEBUG    | Ink ratio: 0.0420, threshold: 0.01, blank: False
2026-03-02 11:54:58 | handwriting_ocr           | ERROR    | Handwriting OCR failed: 403 Client Error: Forbidden for url: https://vision.googleapis.com/v1/images:annotate?key=AIzaSyAJ0yGEWhNuBu8Mt1BM2QDimS7zEzMl16U
2026-03-02 11:54:59 | multilingual_ocr          | ERROR    | Multilingual OCR failed: 403 Client Error: Forbidden for url: https://vision.googleapis.com/v1/images:annotate?key=AIzaSyAJ0yGEWhNuBu8Mt1BM2QDimS7zEzMl16U
2026-03-02 11:54:59 | ocr_router                | INFO     | OCR result: engine=vision_api_document, confidence=0.000, text_length=0
2026-03-02 11:54:59 | blank_detector            | DEBUG    | Ink ratio: 0.0552, threshold: 0.01, blank: False
